"No.","Time","Source","Destination","Protocol","Length","Info"
"402","81.613465","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=41766 Ack=714 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"403","81.619389","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=43158 Ack=714 Win=3489 Len=99 [TCP segment of a reassembled PDU]"
"404","81.619618","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=714 Ack=43257 Win=516 Len=0"
"405","81.620093","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=43257 Ack=714 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"406","81.620093","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=44649 Ack=714 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"407","81.620093","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=44757 Ack=714 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"408","81.620093","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=46149 Ack=714 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"409","81.620093","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=46257 Ack=714 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"410","81.620093","157.240.195.54","10.0.0.6","TCP","91","5222  >  56478 [PSH, ACK] Seq=47649 Ack=714 Win=3489 Len=37 [TCP segment of a reassembled PDU]"
"411","81.620365","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=714 Ack=47686 Win=516 Len=0"
"412","81.646649","10.0.0.6","157.240.195.54","TCP","115","56478  >  5222 [PSH, ACK] Seq=714 Ack=47686 Win=516 Len=61 [TCP segment of a reassembled PDU]"
"413","81.699015","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=47686 Ack=775 Win=3489 Len=0"
"450","92.572032","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=47686 Ack=775 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"451","92.572032","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=49078 Ack=775 Win=3489 Len=99 [TCP segment of a reassembled PDU]"
"452","92.572032","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=49177 Ack=775 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"453","92.572032","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=50569 Ack=775 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"454","92.572032","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=50677 Ack=775 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"455","92.572032","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=52069 Ack=775 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"456","92.572032","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=52177 Ack=775 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"457","92.572032","157.240.195.54","10.0.0.6","TCP","315","5222  >  56478 [PSH, ACK] Seq=53569 Ack=775 Win=3489 Len=261 [TCP segment of a reassembled PDU]"
"458","92.572032","157.240.195.54","10.0.0.6","TCP","1206","5222  >  56478 [PSH, ACK] Seq=53830 Ack=775 Win=3489 Len=1152 [TCP segment of a reassembled PDU]"
"459","92.572398","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=775 Ack=54982 Win=516 Len=0"
"460","92.588141","10.0.0.6","157.240.195.54","TCP","115","56478  >  5222 [PSH, ACK] Seq=775 Ack=54982 Win=516 Len=61 [TCP segment of a reassembled PDU]"
"461","92.641981","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=54982 Ack=836 Win=3489 Len=0"
"464","95.026935","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=54982 Ack=836 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"465","95.029978","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=56374 Ack=836 Win=3489 Len=99 [TCP segment of a reassembled PDU]"
"466","95.030027","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=836 Ack=56473 Win=516 Len=0"
"467","95.031735","157.240.195.54","10.0.0.6","TCP","1276","5222  >  56478 [PSH, ACK] Seq=56473 Ack=836 Win=3489 Len=1222 [TCP segment of a reassembled PDU]"
"468","95.082065","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=836 Ack=57695 Win=511 Len=0"
"469","95.246260","10.0.0.6","157.240.195.54","TCP","105","56478  >  5222 [PSH, ACK] Seq=836 Ack=57695 Win=511 Len=51 [TCP segment of a reassembled PDU]"
"470","95.302738","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=57695 Ack=887 Win=3489 Len=0"
"481","100.663272","157.240.195.54","10.0.0.6","XMPP/XML","250","UNKNOWN PACKET "
"482","100.668091","10.0.0.6","157.240.195.54","TCP","100","56478  >  5222 [PSH, ACK] Seq=887 Ack=57891 Win=516 Len=46 [TCP segment of a reassembled PDU]"
"483","100.723247","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=57891 Ack=933 Win=3489 Len=0"
"492","104.760084","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=57891 Ack=933 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"493","104.760084","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=59283 Ack=933 Win=3489 Len=99 [TCP segment of a reassembled PDU]"
"494","104.760216","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=933 Ack=59382 Win=516 Len=0"
"495","104.762533","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=59382 Ack=933 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"496","104.762533","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=60774 Ack=933 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"497","104.762533","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=60882 Ack=933 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"498","104.762533","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=62274 Ack=933 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"499","104.762533","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=62382 Ack=933 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
